[2024-06-23 20:08:45,313: INFO: main: welcome to our logger]
[2024-06-23 20:14:27,540: INFO: main: welcome to our logger]
[2024-06-25 23:23:03,517: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-25 23:23:03,520: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-25 23:25:08,843: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-25 23:25:08,848: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-25 23:27:18,894: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-25 23:27:18,895: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-25 23:30:54,272: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-25 23:30:54,272: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-25 23:31:14,515: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-25 23:31:14,520: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-26 20:17:18,208: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-26 20:17:18,211: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-26 20:33:25,334: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-26 20:33:25,339: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-26 20:35:27,366: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-26 20:35:27,371: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-26 20:35:27,374: INFO: common: created directory at: artifacts]
[2024-06-26 20:35:27,376: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-26 20:35:27,378: INFO: 159183177: Downloading data from https://drive.google.com/file/d/1OhHyzKebC6_kYRh_zmGp8xzH3eMU6LrL/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-06-26 20:35:28,319: INFO: 159183177: Downloaded data from https://drive.google.com/file/d/1OhHyzKebC6_kYRh_zmGp8xzH3eMU6LrL/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-06-26 20:38:25,957: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-26 20:38:25,957: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-26 20:38:25,962: INFO: common: created directory at: artifacts]
[2024-06-26 20:38:25,964: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-26 20:38:25,965: INFO: 159183177: Downloading data from https://drive.google.com/file/d/1OhHyzKebC6_kYRh_zmGp8xzH3eMU6LrL/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-06-26 20:38:26,731: INFO: 159183177: Downloaded data from https://drive.google.com/file/d/1OhHyzKebC6_kYRh_zmGp8xzH3eMU6LrL/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-06-26 20:38:55,829: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-26 20:38:55,834: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-26 20:38:55,835: INFO: common: created directory at: artifacts]
[2024-06-26 20:38:55,837: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-26 20:38:55,838: INFO: 159183177: Downloading data from https://drive.google.com/file/d/1OhHyzKebC6_kYRh_zmGp8xzH3eMU6LrL/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-06-26 20:38:56,520: INFO: 159183177: Downloaded data from https://drive.google.com/file/d/1OhHyzKebC6_kYRh_zmGp8xzH3eMU6LrL/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-06-26 20:41:30,016: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-26 20:41:30,024: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-26 20:41:30,025: INFO: common: created directory at: artifacts]
[2024-06-26 20:41:30,026: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-26 20:41:30,028: INFO: 2729748356: Downloading data from https://drive.google.com/file/d/1OhHyzKebC6_kYRh_zmGp8xzH3eMU6LrL/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
